nome,nacionalidade,contribuicao_chave,bio
"Gottfried Wilhelm Leibniz","Alemão","Formalização do sistema binário e cálculo mecânico","(1646-1716). Polímata que descreveu a aritmética binária em 'Explication de l'Arithmétique Binaire' (1703), conectando representação simbólica e operação mecânica. Seu desenho do Step Reckoner mostrou uma trilha prática entre matemática discreta e automação de cálculo. Fontes: Internet Archive (Acta Eruditorum, 1703), Encyclopaedia Britannica."
"Blaise Pascal","Francês","Calculadora mecânica Pascaline","(1623-1662). Projetou a Pascaline para automatizar soma/subtração com engrenagens, antecipando a mecanização de tarefas contábeis. Fontes: CHM, Musée des Arts et Métiers."
"Joseph-Marie Jacquard","Francês","Controle por cartões perfurados","(1752-1834). O tear de Jacquard mostrou como instruções físicas codificadas podiam controlar sequências complexas, influenciando programação mecânica posterior. Fontes: Smithsonian, Britannica."
"George Boole","Britânico","Lógica booleana","(1815-1864). Em 'An Investigation of the Laws of Thought' (1854) transformou lógica em álgebra simbólica, base para circuitos digitais e para a semântica formal de computação. Influenciou diretamente a interpretação de comutação em engenharia elétrica no século XX. Fontes: Internet Archive, CHM/Britannica."
"Augustus De Morgan","Britânico","Leis de De Morgan","(1806-1871). Formalizou transformações lógicas complementares usadas em simplificação de expressões booleanas e projeto de circuitos digitais. Fontes: MacTutor, Britannica."
"Isaac Newton","Inglês","Método de diferenças finitas","(1643-1727). Em obras como Principia e tratados matemáticos, consolidou técnicas de diferenças finitas e métodos numéricos que posteriormente influenciaram automação de cálculo tabular. Fonte: Royal Society/Britannica."
"Carl Friedrich Gauss","Alemão","Métodos numéricos e eliminação","(1777-1855). Desenvolveu técnicas de eliminação e interpolação fundamentais para computação científica e algoritmos lineares modernos. Fontes: Göttingen archives, Britannica."
"Ada Lovelace","Britânica","Primeiro algoritmo publicado para máquina de propósito geral","(1815-1852). Nas notas sobre a Analytical Engine (1843), descreveu um método computacional para números de Bernoulli e antecipou o conceito de software separado de hardware. Colaboração intelectual direta com Charles Babbage. Fonte primária: tradução de Menabrea com notas de Lovelace (1843)."
"Charles Babbage","Inglês","Arquitetura de computação mecânica programável","(1791-1871). Projetou Difference Engine e Analytical Engine para automatizar tabelas e cálculo geral com controle por cartões. Converteu teoria numérica em engenharia mecânica escalável para sua época. Fontes: Computer History Museum, Science Museum Group."
"Herman Hollerith","Americano","Tabulação eletromecânica","(1860-1929). Aplicou cartões perfurados ao censo, reduzindo drasticamente tempo de processamento e inaugurando data processing industrial. Fontes: US Census Bureau, IBM archives."
"Alan Turing","Britânico","Modelo formal de computabilidade","(1912-1954). Em 1936 definiu máquinas abstratas que delimitam funções computáveis e undecidibilidade; durante a guerra contribuiu para criptoanálise mecanizada. Sua formalização conecta lógica, algoritmo e limites teóricos de automação. Fontes: Proceedings LMS (1936), Bletchley/CHM."
"Alonzo Church","Americano","Cálculo lambda e decidibilidade","(1903-1995). Formalizou computação por funções e mostrou resultados de indecidibilidade paralelos aos de Turing, sustentando a tese Church-Turing. Fontes: Princeton archives, Stanford Encyclopedia."
"John von Neumann","Húngaro-Americano","Arquitetura de programa armazenado","(1903-1957). No 'First Draft of a Report on the EDVAC' (1945) consolidou o paradigma de memória compartilhada para instruções e dados, base dominante da computação de uso geral. Fontes: IAS archive, CHM."
"Claude Shannon","Americano","Teoria matemática da informação e ligação entre álgebra booleana e circuitos","(1916-2001). Na tese de 1937 demonstrou como lógica booleana modela circuitos de comutação; em 1948 quantificou informação, capacidade de canal e limites de ruído. Elo técnico central entre lógica formal, telecomunicações e computação digital. Fontes: Bell System Technical Journal, IEEE Milestones."
"John Bardeen","Americano","Cocriador do transistor","(1908-1991). Com Walter Brattain e William Shockley viabilizou a substituição de válvulas por dispositivos semicondutores de menor dissipação térmica e maior confiabilidade. Fonte: Nobel Prize, Bell Labs history."
"Walter Brattain","Americano","Cocriador do transistor","(1902-1987). Coparticipou dos experimentos que demonstraram amplificação em estado sólido, abrindo caminho para miniaturização e redução de falhas em sistemas eletrônicos. Fonte: Nobel Prize."
"William Shockley","Americano","Teoria e engenharia de junção para transistores","(1910-1989). Contribuiu para a modelagem e industrialização de transistores de junção, etapa crítica para produção em escala antes do circuito integrado moderno. Fonte: Nobel Prize, IEEE History Center."
"Jean Hoerni","Suíço-Americano","Processo planar","(1924-1997). Em 1959 introduziu o processo planar em silício com passivação por SiO2, elevando rendimento de fabricação e confiabilidade elétrica. Solução-chave para a 'tirania dos números' ao permitir integração crescente. Fontes: IEEE Spectrum/History Center, Fairchild archives."
"Mohamed Atalla","Egípcio-Americano","Passivação de superfície em silício","(1924-2009). Demonstrou passivação de superfície que viabilizou MOS confiável e escala industrial de semicondutores. Fontes: IEEE, Bell Labs."
"Dawon Kahng","Coreano-Americano","Invenção do MOSFET","(1931-1992). Co-inventor do MOSFET, tecnologia dominante de integração em larga escala e base física da microeletrônica moderna. Fontes: IEEE History Center."
"Jack Kilby","Americano","Demonstração inicial de circuito integrado","(1923-2005). Em 1958 demonstrou integração de componentes eletrônicos em um único substrato, iniciando a transição para microeletrônica compacta. Fonte: Nobel Prize, TI archives."
"Robert Noyce","Americano","Circuito integrado monolítico e integração em escala","(1927-1990). Aplicou conceitos do processo planar para interconectar múltiplos componentes no mesmo chip, reduzindo custo por função e complexidade de montagem. Fonte: IEEE Milestone, CHM."
"Gordon Moore","Americano","Escalonamento empírico da integração","(1929-2023). A observação de Moore orientou roadmaps de semicondutores, investimento fabril e estratégias de miniaturização por décadas. Fontes: IEEE Spectrum, Intel archive."
"Ted Hoff","Americano","Arquitetura do microprocessador comercial","(1937- ). Contribuiu para a concepção do Intel 4004, consolidando CPU em chip único para sistemas embarcados e computação pessoal. Fontes: Intel museum."
"Paul Baran","Polonês-Americano","Comutação de pacotes resiliente","(1926-2011). Propôs redes distribuídas robustas a falhas, conceito precursor da arquitetura de internetworking e da engenharia de resiliência de redes modernas. Fonte: RAND papers, Internet Society."
"Donald Davies","Britânico","Packet switching operacional","(1924-2000). No NPL, formalizou e operacionalizou comutação de pacotes com foco em compartilhamento eficiente de enlaces e filas. Influenciou diretamente redes de pesquisa posteriores. Fonte: NPL archive, IEEE Annals."
"Leonard Kleinrock","Americano","Teoria de filas aplicada a redes","(1934- ). Forneceu base analítica para desempenho de redes de pacotes e projeto de ARPANET. Fontes: UCLA archives, Internet Society."
"Vinton Cerf","Americano","Arquitetura TCP/IP","(1943- ). Coautor das especificações TCP/IP e liderança técnica na migração ARPANET de NCP para TCP/IP em 1983, permitindo interconexão aberta de redes heterogêneas. Fonte: RFC 675/793, Internet Society."
"Bob Kahn","Americano","Arquitetura de internetworking","(1938- ). Coautor da arquitetura de rede aberta e do desenho de protocolos fim a fim para internetworking sem controle central único. Fonte: Internet Society, ACM oral history."
"Tim Berners-Lee","Britânico","Web (HTTP/URL/HTML)","(1955- ). Propôs a Web para compartilhamento hipertextual distribuído sobre a Internet, acelerando adoção global da infraestrutura TCP/IP. Fontes: CERN archive, W3C."
"John McCarthy","Americano","Fundação da IA simbólica","(1927-2011). Cunhou o termo Artificial Intelligence e estruturou pesquisa em raciocínio simbólico e linguagens como Lisp. Fontes: Stanford, ACM."
"Frank Rosenblatt","Americano","Perceptron","(1928-1971). Introduziu modelo conexionista treinável para classificação, iniciando ciclo moderno de aprendizado estatístico. Fonte: Cornell archive."
"David Rumelhart","Americano","Backpropagation","(1942-2011). Coautor de artigo seminal de 1986 que demonstrou aprendizagem multicamada prática via gradiente. Fonte: Nature 1986."
"Geoffrey Hinton","Britânico-Canadense","Backpropagation e representações distribuídas","(1947- ). Coautor de trabalhos que popularizaram retropropagação e redes profundas, reabilitando o campo de redes neurais com evidências empíricas robustas. Fonte: Nature 1986, ACM Turing Award materials."
"Yann LeCun","Francês-Americano","CNNs e aprendizado profundo aplicado","(1960- ). Coautor de LeNet e avanços em aprendizado por gradiente para visão computacional, demonstrando ganho prático em reconhecimento de padrões com dados e aceleração computacional. Fonte: IEEE/AT&T Bell Labs publications."
"Yoshua Bengio","Canadense","Modelagem profunda e generalização","(1964- ). Contribuiu para fundamentos de deep learning moderno, regularização e aprendizado de representações, acelerando a transição de métodos simbólicos para estatísticos em larga escala. Fonte: JMLR/Foundations papers."
"Ian Goodfellow","Americano","GANs","(1985- ). Introduziu redes adversariais generativas, ampliando fronteira de geração de dados sintéticos e modelagem de distribuição. Fonte: NeurIPS 2014."
"Sepp Hochreiter","Austriaco","LSTM","(1967- ). Coautor da arquitetura LSTM para mitigar gradientes que desaparecem em sequências longas. Fonte: Neural Computation 1997."
"Jürgen Schmidhuber","Alemão","LSTM e aprendizado sequencial","(1963- ). Coautor de LSTM e contribuições em otimização de redes recorrentes. Fonte: IDSIA archives."
"Ashish Vaswani","Indiano-Americano","Transformer e mecanismo de atenção escalável","(1980- ). Primeiro autor de 'Attention Is All You Need' (2017), que substituiu recorrência por atenção e paralelismo eficiente, habilitando LLMs de grande escala. Fonte: arXiv 1706.03762, NeurIPS proceedings."
"Ilya Sutskever","Russo-Canadense","Escala de modelos de linguagem","(1985- ). Contribuiu para treinamento em larga escala de redes profundas e arquiteturas de linguagem de alto desempenho. Fontes: OpenAI papers, arXiv."
"Alec Radford","Americano","Linha GPT","(1990- ). Liderou publicações de GPT que consolidaram pretreino generativo e transferência para múltiplas tarefas. Fonte: OpenAI papers."
"Noam Shazeer","Americano","Mixture-of-Experts e eficiência de escala","(1978- ). Contribuiu para arquiteturas eficientes de larga escala em modelos de linguagem e atenção. Fonte: arXiv/Google research."
